"","Crude foodstuffs and feedstuffs","Intermediate foods and feeds","Finished consumer foods","Farm level cattle","Beef.and.Veal","Pork","Poultry","Eggs","Farm level milk","Dairy.products","Farm level soybeans","Fats.and.oils","Fresh.fruits","Fresh.vegetables","Farm level wheat","Wholesale wheat flour","year"
"X1974",5.2,18.9,14,-10.2,-3.1,1.1,-11.3,-3,19.3,11.6,-4.7,59.4,6.3,17.4,33.3,29.4,"1974"
"X1975",1.3,-2.4,8.4,-1.7,11.1,32.4,17,-0.6,4.2,6.5,-18.4,-13.1,9.5,-8.7,-19.7,-13.5,"1975"
"X1976",-0.8,-5.1,-0.3,-7.1,-11.4,-6.2,-9.7,12.1,11.6,8.1,6,-20.9,1.2,-7.7,-13.3,-9.5,"1976"
"X1977",0.9,2.8,5.3,2.3,0.9,-5.6,4.3,-9.6,0.8,3,18.8,16.5,11.1,3.7,-22.5,-19.6,"1977"
"X1978",12.6,6.5,9,32.4,28.3,15.3,12,-2.1,8.4,8.6,-5.8,8.5,20.3,7,24.3,19.1,"1978"
"X1979",14.5,11.4,9.3,30.5,24.7,-6.5,-2.8,11.4,13.8,12.2,8.1,8,9,0.5,23.6,21.5,"1979"
"X1980",4.6,11.6,5.8,-2.1,3.2,-3.9,2.5,-3.1,8.5,9.2,-0.4,-6.8,2.1,8.9,7.8,9.1,"1980"
"X1981",-0.7,-0.9,5.8,-4.7,-5.2,10.8,0,9.4,5.9,6.5,0,0.3,-3.7,26.9,0.2,2.2,"1981"
"X1982",-3.8,-4.4,2.2,0,-0.7,15.1,-7.6,-4.5,-1.7,1.3,-14.5,-5.4,3.5,-11.3,-7.8,-4.4,"1982"
"X1983",1.8,3.6,1,-3.1,-3.6,-9.4,3.7,NA,-0.2,0.7,16.3,11,6.4,1,0.7,1.5,"1983"
"X1984",2.8,2,4.4,3.7,0.3,-0.4,11.2,NA,-1.3,0.4,2.7,26.2,0.4,11.8,-4,-0.5,"1984"
"X1985",-9.5,-7.9,-0.8,-9.3,-6.6,-1.2,-4.2,-18.8,-4.9,-0.9,-21.1,-10.4,1.2,-11.9,-9.4,-1.2,"1985"
"X1986",-1.7,-1.1,2.6,-2.1,-2.4,12.1,5.8,4.1,-2.9,-0.3,-8.3,-23.1,4.4,-1.7,-12.9,-5.2,"1986"
"X1987",3.2,3.1,2.1,15.1,8.4,5,-11.4,-12,1,1.7,2.2,1.5,-0.8,6.1,-4.6,-1.8,"1987"
"X1988",10.3,10.4,2.8,6.5,6.2,-9.4,7.8,1.1,-2.7,0.6,41.3,19.7,1.3,1.6,28.7,13.8,"1988"
"X1989",4.8,3.9,5.4,3.9,7.4,2.8,7.9,35,10.5,8.2,-8.4,-4.4,-0.3,10.6,16.9,8.4,"1989"
"X1990",1.7,-0.4,4.8,7.6,6.5,22.6,-5.6,-1.7,2,6,-11.8,6.5,4.3,1.2,-20,-9.6,"1990"
"X1991",-6.7,-1.9,-0.2,-5.5,-3.3,-5.3,-3.3,-5.9,-11.2,-2.2,-5.7,-6.2,10,-12.1,-9.4,-6.6,"1991"
"X1992",-0.4,-0.4,-0.6,-0.3,-2.4,-12.8,-0.8,-15,7.4,2.9,2.3,-2.9,-35.3,10.8,24.1,13.1,"1992"
"X1993",3.1,1.8,1.9,1.1,3.1,6.9,2.5,12.5,-2.1,0.2,7.7,7.4,0.6,17.6,-0.1,-0.5,"1993"
"X1994",-1.8,1.9,0.9,-9.3,-8.2,-4.1,2.7,-7.6,1.7,1.1,1.1,16.2,-2.1,-4.6,6.5,1.4,"1994"
"X1995",-0.7,0,1.7,-6,-2.6,0.1,-0.4,6.4,-2.2,0.3,-3.6,2,3.7,11.9,13.2,11.4,"1995"
"X1996",14.8,11.6,3.6,-3.7,-0.7,19.1,4.8,25.6,15.3,8.9,25.1,-5.6,17.5,-6.5,15.2,11.2,"1996"
"X1997",-7.7,-2.1,0.7,2.2,2.6,1.8,-1.9,-9,-9.6,-1.8,2.4,-0.1,-1.4,-8.8,-20.8,-13.2,"1997"
"X1998",-7.4,-7.3,-0.1,-5.5,-3.3,-21.5,2.9,-9.6,15.8,7.9,-21.1,8,-9,13.3,-18.9,-8,"1998"
"X1999",-5,-4.4,0.6,5.5,6.9,-0.6,-5.6,-16.9,-5.8,0.7,-22.5,-13.6,14.5,-15.4,-9.5,-4.5,"1999"
"X2000",1.5,0.5,1.6,6.7,7,18.1,-1,9.4,-13.5,-4,4.1,-9.8,-11.8,7.4,1,-0.5,"2000"
"X2001",5.9,3.8,3,4.1,6.1,6.1,3.5,-4.2,21.5,8.6,-5.8,-2.6,6.9,-1.6,6.5,5.9,"2001"
"X2002",-6.2,-0.3,-0.8,-7,-4.9,-9.4,-4.7,2.2,-18.8,-6.2,11.6,10.7,-6.3,9.5,14.5,5.7,"2002"
"X2003",14.1,9,4.1,23.3,20.2,6.1,4.8,37.9,3.3,2.3,24.1,31,-8.1,-0.6,0.6,6.4,"2003"
"X2004",11.9,8.9,4.7,1.5,2.4,14.7,11.7,-7.3,28,11.8,19.5,19.3,24.7,-4.6,7.6,4.4,"2004"
"X2005",-3.4,-2.4,2,4.2,4.4,-0.6,-1.2,-26.5,-5.5,-0.9,-21.1,-4.5,-2,10.2,-2,10.2,"2005"
"X2006",-2.8,1,0.6,-4,-3.5,-3,-8.2,10.8,-14.8,-4.5,-5.7,-0.4,8,7.5,8,7.5,"2006"
"X2007",23,14.2,6.6,7.8,2.7,4.1,12.8,61.2,48.2,19.1,42.5,17.5,11.2,8,11.2,8,"2007"
"X2008",11.4,17.6,6.8,0,5.2,-2,3.9,17.7,-4.3,4,47.9,42.7,-0.4,4.1,-0.4,4.1,"2008"
"X2009",-17.7,-8.6,-1.6,-10.4,-7.4,-11.5,2.1,-26.4,-30.1,-14,-13.7,-23.3,-10.2,-5.9,-10.2,-5.9,"2009"
"X2010",13.3,3.4,3.9,14.6,10.3,23.2,1.4,0.5,27.1,10.8,0.7,4.3,12.1,10,12.1,10,"2010"
"X2011",23.6,12,6.3,22.1,15,12.5,-1.5,16.5,23.5,12.6,24,29.3,-4.9,9.3,-4.9,9.3,"2011"
"X2012",4.2,4.8,2.6,8.6,10,-4.1,11.2,1.4,-8.1,-1.6,13.2,-2,1.1,-19.8,-2.6,2,"2012"
"X2013",2,1.4,2.2,1.4,0,3.6,3.8,9.4,8.1,3.6,-1.9,-6.7,1.8,26.4,-3,0,"2013"
"X2014",4.9,3.2,4.5,22.8,19.1,19.6,4.3,17.8,19.8,11,-12.4,-6.7,3.4,-1.9,-6.8,1.4,"2014"
"X2015",-13.9,-6.2,-1.3,-2.3,3.4,-23.4,-1.6,31.9,-30.1,-12.7,-24.7,-5.5,-0.1,3.2,-19.5,-10,"2015"
