,comp_name,comp_rating_overall,comp_review_link,review_cons,review_pros,review_summary,review_votes
161,University of California Berkeley,4.1,http://www.indeed.com/cmp/University-of-California-Berkeley/reviews,Very poor pay.,The work has been interesting. Management is knowlegable and Helpful.,Working as U.C.B. has been rewarding.,0
162,Reed Exhibitions,3.6,http://www.indeed.com/cmp/Reed-Exhibitions/reviews,,,"Interesting, fun, exciting convention atmosphere",0
163,U.S. Department of Labor,3.6,http://www.indeed.com/cmp/U.S.-Department-of-Labor/reviews,no upward mobility,learn safety ad health,Good Agency to work for,6
164,Center for Sustainable Energy,4.8,http://www.indeed.com/cmp/Center-For-Sustainable-Energy/reviews,,,Chemistry,0
165,P&G,4.1,http://www.indeed.com/cmp/Procter-&-Gamble/reviews,,,Great company but only if in Ohio at the headquarters.,0
166,Department Of Health And Human Services,4.0,http://www.indeed.com/cmp/Indian-Health-Service/reviews,Part-Time. Clients needs were great and all could not be filled within the allotted time.,"Very Challenging, but a pleasure to work within in the independent living of each client",This should be Habiliation Health Technician,5
167,"Expedia, Inc.",3.9,"http://www.indeed.com/cmp/Expedia,-Inc./reviews",,,Good,0
168,SDL,3.6,http://www.indeed.com/cmp/Sdl/reviews,"job work/life balance, compensation, advancement, training, job culture",people,Management and Workplace,11
169,Wells Fargo,3.8,http://www.indeed.com/cmp/Wells-Fargo/reviews,,great work culture- fun at work and great bonuses,Great Company,2
170,IDEXX Laboratories,3.6,http://www.indeed.com/cmp/Idexx-Laboratories/reviews,,,Great Place to work fun and open minded workers,5
171,Convey Health Solutions,3.3,http://www.indeed.com/cmp/Convey-Health-Solutions/reviews,"Everyone quits after the training, training is terrible",Meeting new people,If you need quick cash take the training and quit,8
172,Kforce,3.7,http://www.indeed.com/cmp/Kforce/reviews,,,Great work place,2
173,Penn Schoen Berland,4.0,http://www.indeed.com/cmp/Penn-Schoen-Berland/reviews,compensation packages seemed low; no 401k plan,great coworkers,Intelligent people passionate about research,0
174,Department of the Army,4.5,http://www.indeed.com/cmp/U.S.-Army/reviews,,,Excellent place to work,0
175,Eli Lilly,4.1,http://www.indeed.com/cmp/Eli-Lilly/reviews,"working outside in the rain and snow, job stability, limited access with doctors","building great relationships, health benefits, company vehicle plus parking, occasional luncheon, wireless internet card, cell phone reimbursement",Dynamic and compelling sales position that requires strong business acumen and high emotional intelligence,7
176,"Beckman Coulter, Inc.",3.6,"http://www.indeed.com/cmp/Beckman-Coulter,-Inc./reviews",I really don't have one.,Company is a good place to work for.,Great people,0
177,Digital Prospectors,4.7,http://www.indeed.com/cmp/Digital-Prospectors/reviews,'extra' benefits can be a curse if you are not personally accountable,"Wellness stipend, flex time, employee recognition",Awesome company to be a part of!,1
178,The Johns Hopkins Applied Physics Laboratory,3.9,http://www.indeed.com/cmp/Johns-Hopkins-University/applied-Physics-Lab/reviews,,,Apl,3
179,DSM,3.5,http://www.indeed.com/cmp/Dsm/reviews,Short of staff,Training was stressed and managmented very well,Use of my skills was appreicated,1
180,General Motors,4.1,http://www.indeed.com/cmp/GM/reviews,,,Fun Workplace!,3
181,Colorado Mental Health Institute at Pueblo,4.2,http://www.indeed.com/cmp/Colorado-Mental-Health-Institute-At-Pueblo/reviews,Financial constraints imposed by the state,Encouragement for innovation,The employees are very dedicated and kind,0
182,Diverse Lynx,4.5,http://www.indeed.com/cmp/Diverse-Lynx/reviews,,"good health insurance, long lunch breaks and coffee breaks",great learning place for interns,21
183,Department Of The Interior,4.1,http://www.indeed.com/cmp/Department-of-the-Interior/reviews,no benefits or permanent opportunity is lacking,being able to share nature with the public is great fun.,Wonderful opportunity,18
184,Central Bank,3.9,http://www.indeed.com/cmp/Central-Bank/reviews,,,Productive workplace,1
185,IGT,3.6,http://www.indeed.com/cmp/Igt/reviews,,,good place to work,1
186,Card Services,3.9,http://www.indeed.com/cmp/Card-Services/reviews,off days,Friendly coworkers,Nice bright and breakrooms,0
187,Canon USA,3.7,"http://www.indeed.com/cmp/Canon-U.s.a.,-Inc./reviews",,A variety of opportunities,Great place to learn or grow,1
188,Genentech,4.1,http://www.indeed.com/cmp/Genentech/reviews,,,Productive and Great Place to work,0
189,Array BioPharma,3.5,http://www.indeed.com/cmp/Array-Biopharma/reviews,,,mgmt team disfunctional,0
190,Kimble Companies,3.6,http://www.indeed.com/cmp/Kimble-Companies/reviews,"hourly wages, management, almost no time off, odor","outdoors, low supervision, equipment and experience learned","All outdoors, work weekends, work with very low supervision",4
191,McKinsey & Company,4.3,http://www.indeed.com/cmp/Mckinsey-&-Company/reviews,,,Good,1
192,Johns Hopkins University,4.1,http://www.indeed.com/cmp/Johns-Hopkins-University/reviews,"Alot of introverted work, tedious work, and requires alot of seating","Research and Great resources, Strong connections, Brilliant minds to work with",Productive and great place to research,0
193,Proteus Digital Health,3.9,http://www.indeed.com/cmp/Proteus-Digital-Health/reviews,,,great work place,0
194,American Chemical Society,3.9,http://www.indeed.com/cmp/American-Chemical-Society/reviews,,,Great employee benefits,0
195,Stanford University,4.3,http://www.indeed.com/cmp/Stanford-University/reviews,Pay,"Work/Life Balance, Benefits, Time off, Training",Great Company,1
196,Abbott Laboratories,4.2,http://www.indeed.com/cmp/Abbott-Laboratories/reviews,,,Best company to ever work for in Pharmaceuticals Product Division,4
197,Clark University,4.2,http://www.indeed.com/cmp/Clark-University/reviews,Could get slow at times,"Excellent co-workers, low-stress",Well-paced job with nice and competent co-workers,0
198,Baylor Scott & White Health,3.8,http://www.indeed.com/cmp/Baylor-Scott-&-White-Health/reviews,,,Ethics,0
199,Alcatel-Lucent,4.0,http://www.indeed.com/cmp/Alcatel/reviews,,,"Alcatel-Lucent, New York, NY",1
200,Environmental Defense Fund,4.1,http://www.indeed.com/cmp/Environmental-Defense-Fund/reviews,"long hours, hard work","freedome, benefits, great location, travel",Wonderful Company,3
201,Integrated DNA Technologies,3.5,http://www.indeed.com/cmp/Integrated-Dna-Technologies/reviews,,,One big family,0
202,City of Albuquerque,4.1,http://www.indeed.com/cmp/City-of-Albuquerque/reviews,,,Productive and fun enviroment,0
203,Amazon Corporate LLC,3.7,http://www.indeed.com/cmp/Amazon.com/reviews,Short Breaks,Straight Forward Tasks,Work Experience,0
204,Millward Brown,3.5,http://www.indeed.com/cmp/Millward-Brown/reviews,,,Good place to work at,1
205,Vanderbilt University,4.0,http://www.indeed.com/cmp/Vanderbilt-University/reviews,,"coworkers, patients","Very fast-paced, exciting environment",0
206,AppLabs,3.3,http://www.indeed.com/cmp/Applabs/reviews,Medical insurance and the job itself,"Vacation, sick pay, can eventually work from home",Disorganization,6
207,Northrop Grumman,4.1,http://www.indeed.com/cmp/Northrop-Grumman/reviews,When on a challenging project career growth not positive,When part of the right sector career growth positive,Positive work Environment,0
208,KPMG,4.0,http://www.indeed.com/cmp/Kpmg/reviews,,,Great place to begin a career,0
209,Mintel,4.0,http://www.indeed.com/cmp/Mintel/reviews,Entrepreneurial mindset is a must,"Excellent people, amazing office space. Perks like happy hours, intramural sports, a free gym in the building and amazing PTO and benefits keep everyone happy.",Great company to work for with a phenomenal culture,2
210,Commonwealth of Kentucky,3.5,http://www.indeed.com/cmp/Commonwealth-of-Kentucky/reviews,,,Internship,3
211,CSRA,4.0,http://www.indeed.com/cmp/Csra/reviews,,,Great Staff and leadership,2
212,National Agricultural Statistics Service,4.5,http://www.indeed.com/cmp/National-Agricultural-Statistics-Service/reviews,,,Family oriented innovative culture,3
213,Tektronix,3.5,http://www.indeed.com/cmp/Tektronix/reviews,Management turned backs on you when they lay you off. Many OT hours not paid for.,Awesome coworkers,Loved the people I worked with,3
214,Fresenius Kabi,3.9,http://www.indeed.com/cmp/Fresenius-Kabi/reviews,,,"I have been working at Fresenius Kabi full-time (More than 5 years)  Pros  Employees are, for the most part, kind and easy to work with (though ther",0
215,State of Montana,3.9,http://www.indeed.com/cmp/State-of-Montana/reviews,"Not sufficient help from unions, no representation from unions.","Great salary, great benefits, wonderful atmosphere to work in.","Great environment, plenty of support and plenty of chances for advancement.",3
216,Duke University and Duke University Health System,3.9,http://www.indeed.com/cmp/Duke-University-and-Duke-University-Health-System/reviews,pay not competitive,diversity,good opportunity to learn need skills,5
217,Paypal,3.9,http://www.indeed.com/cmp/Paypal/reviews,,,Downhill since the Ebay Split,2
218,General Dynamics - Information Technology,3.8,http://www.indeed.com/cmp/General-Dynamics/reviews,,,"Customer focused, produced high quality products",0
219,NAVIS,3.1,http://www.indeed.com/cmp/Navis/reviews,"lack of training, resources, lack of stability, lack of intergrity","work from home, flexibility, fun",Fun but deceving,5
220,Department Of Labor,4.2,http://www.indeed.com/cmp/Department-of-Labor/reviews,breaks,lunch time,Good Money.,0
221,NSS,3.8,http://www.indeed.com/cmp/Nss/reviews,,,"Co workers are Great, I enjoyed working with Mycom",0
222,Atlassian,4.3,http://www.indeed.com/cmp/Atlassian/reviews,,,Rapidly growing software company with a unique culture,1
223,Columbia University,4.2,http://www.indeed.com/cmp/Columbia-University/reviews,,,Most Enjoyable part of the Job,0
224,National Institutes of Health,3.6,http://www.indeed.com/cmp/National-Institutes-of-Health/reviews,,,Nice working environment but salary is not as high as industry,0
225,Genzyme,3.7,http://www.indeed.com/cmp/Genzyme/reviews,,,Great company,2
226,Albert Einstein College of Medicine,4.3,http://www.indeed.com/cmp/Albert-Einstein-College-of-Medicine/reviews,,,Educational and relevant work experience,0
227,University of Florida,4.3,http://www.indeed.com/cmp/University-of-Florida/reviews,,,Hardworking Team Who Saves Lives of Children With A Rare Diseasse,0
228,Salt River Project,4.1,http://www.indeed.com/cmp/Salt-River-Project/reviews,,,Salt river project is one of da safes job that i ever wo,0
229,Thomson Reuters,4.0,http://www.indeed.com/cmp/Thomson-Reuters/reviews,,Great office environment,Great Company for Growth,0
230,Rose International,4.0,http://www.indeed.com/cmp/Rose-International/reviews,N/A,"Great company, always kept me up to date.",Nice Company,10
231,Novetta,3.0,http://www.indeed.com/cmp/Novetta/reviews,,,Extremely Unprofessional Environment,3
232,General Dynamics Information Technology,3.8,http://www.indeed.com/cmp/General-Dynamics-Information-Technology/reviews,certifcation reimbursements,30 minute lunch breaks,Productive Place to work,0
233,Idaho National Laboratory,3.5,http://www.indeed.com/cmp/Idaho-National-Laboratory/reviews,"Insufficient mentoring, lack of focus in suporting organizations, and apparent lack of succession planning as the workforce ages","Good facilities and knowledgable science and engineering staff, many meaningful and challenging technical problems to solve",Stimulating R&D environment; subject to abrupt scope changes,3
234,Ford Motor Company,4.3,http://www.indeed.com/cmp/Ford-Motor-Company/reviews,,,Very enjoyable workplace,5
235,State of Oregon,4.0,http://www.indeed.com/cmp/State-of-Oregon/reviews,,,Fast-paced data entry,0
236,Reed Elsevier,3.6,http://www.indeed.com/cmp/Reed-Elsevier/reviews,,,Slow innovation. Lots of red-tapes and management approval process.,5
237,Chubb,4.1,http://www.indeed.com/cmp/Chubb-Group/reviews,,,Productive and Diverse Work Environment,3
238,CACI International Inc,4.0,http://www.indeed.com/cmp/CACI-International-Inc/reviews,"everything, and i do mean everything",none whatsoever,MASSIVE THEFT OF TAXPAYER DOLLARS IN RETURN FOR BAD BACKGROUND INVESTIGATIONS,101
239,Liberty Mutual,3.8,http://www.indeed.com/cmp/Liberty-Mutual/reviews,,,Amazing Company,0
240,"TAD PGS, Inc",3.4,"http://www.indeed.com/cmp/Tad-Pgs,-Inc/reviews",,,Temporary Company,11
241,Visionaire Partners,4.3,http://www.indeed.com/cmp/Visionaire-Partners/reviews,nothing major,"great teamwork in the office, fun office events, great employee retention, experienced sales and recruiting teams",Best Staffing firm I have worked for!,17
242,PeaceHealth,3.5,http://www.indeed.com/cmp/Peacehealth/reviews,,,Nice place to work,2
243,Broad Institute,4.1,http://www.indeed.com/cmp/MIT-Broad-Institute/reviews,,,Simply awesome!,0
244,Boehringer Ingelheim,4.2,http://www.indeed.com/cmp/Boehringer-Ingelheim/reviews,n/a,great products,Great Company,3
245,Cargill,3.8,http://www.indeed.com/cmp/Cargill/reviews,lower pay than comparable companies,"support continuing education, internal advancement",Excellent Company,11
246,BAE Systems,3.9,http://www.indeed.com/cmp/BAE-Systems/reviews,,,"Poor communications from Management, Unorganized Processes",19
247,Ivinson Memorial Hospital,3.5,http://www.indeed.com/cmp/Ivinson-Memorial-Hospital/reviews,Constant change in administration,Great employees,Difficult place to work with changing administrations,2
248,DEAN FOODS COMPANY,3.3,http://www.indeed.com/cmp/Dean-Foods-Company/reviews,,,"productivity, good people",4
249,Massachusetts General Hospital(MGH),4.4,http://www.indeed.com/cmp/Massachusetts-General-Hospital/reviews,,,Excellent teaching hospital.,1
250,CDK Global,3.5,http://www.indeed.com/cmp/Cdk-Global/reviews,,,"Fun, Relaxed work environment",0
251,University of Colorado,4.2,http://www.indeed.com/cmp/University-of-Colorado/reviews,,,Great place,0
252,WVU Healthcare,4.4,http://www.indeed.com/cmp/Wvu-Healthcare/reviews,,,Fun place to work great staff,2
253,Southwest Airlines,4.5,http://www.indeed.com/cmp/Southwest-Airlines/reviews,,,Best company on the airline industry,15
254,Stanford Health Care,4.3,http://www.indeed.com/cmp/Stanford-Health-Care/reviews,,,Great place to learn it all,2
255,AstraZeneca,4.0,http://www.indeed.com/cmp/Astrazeneca/reviews,,,Part-time pharmaceutical sales position where I can utilize my strong communication and hard working skills,0
256,State of Washington,3.5,http://www.indeed.com/cmp/State-of-Washington/reviews,,"scheduled hours, breaks and lunch. inside controlled atmosphere.",Productive enjoyable place to work.,3
257,Metropolitan Water District of Southern California,3.4,http://www.indeed.com/cmp/Metropolitan-Water-District-of-Southern-California/reviews,,,Worth the Wait,0
258,Jobspring Partners,3.3,http://www.indeed.com/cmp/Jobspring-Partners/reviews,,,"Productive, fun work environment",1
259,UCLA Health,3.6,http://www.indeed.com/cmp/Ucla-Health/reviews,,,Great Hospital,7
260,National Marrow Donor Program,3.8,http://www.indeed.com/cmp/National-Marrow-Donor-Program/reviews,Everything,None,Stay away from NMDP,1
261,Marin General Hospital,3.6,http://www.indeed.com/cmp/Marin-General-Hospital/reviews,,Strong Customer Service orientation among staff.,Community Based Medicine,1
262,Xavier University of Louisiana,4.4,http://www.indeed.com/cmp/Xavier-University-of-Louisiana/reviews,,,great experience,0
263,The Hartford Financial Services,3.7,http://www.indeed.com/cmp/The-Hartford-Financial-Services/reviews,Conditions are subject to market forces.,Good opportunities for young people,Opportunity to grow,1
264,APC,3.8,http://www.indeed.com/cmp/Apc/reviews,,non never had time for a 30 min dinner break,pay min wage parcels  everywhere no organisation,6
265,BioReliance,3.4,http://www.indeed.com/cmp/Bioreliance/reviews,,,Great place to work,0
266,ARCADIS,3.5,http://www.indeed.com/cmp/Arcadis/reviews,,,Good Experience,2
267,Pacific Northwest National Laboratory,4.1,http://www.indeed.com/cmp/Pacific-Northwest-National-Laboratory/reviews,Lack of staff & management training,Policies & Procedures,Professional Subject Matter Experts,1
268,Huntsman,4.0,http://www.indeed.com/cmp/Huntsman/reviews,,,Huntsman co,0
269,Ochsner Health System,3.0,http://www.indeed.com/cmp/Ochsner-Health-System/reviews,"Insurance, vacation time, leadership",Steady paycheck,Terrible administration,0
270,Eurofins Lancaster Laboratories,3.1,http://www.indeed.com/cmp/Eurofins-Lancaster-Laboratories/reviews,,,"Good people, bad for a job.",0
271,Florida Hospital,4.1,http://www.indeed.com/cmp/Florida-Hospital/reviews,,,N/a,0
272,AbbVie,4.0,http://www.indeed.com/cmp/Abbvie/reviews,,,Great work environment,6
273,Bunker Hill Community College,4.6,http://www.indeed.com/cmp/Bunker-Hill-Community-College/reviews,,,great,0
274,KellyMitchell,4.0,http://www.indeed.com/cmp/Kellymitchell/reviews,limited to no virtual office privileges,complex projects challenge pm,High profile consulting,21
275,ASRC Federal,3.6,http://www.indeed.com/cmp/Asrc-Federal/reviews,,,"Billion Dollar Legs, Small Company Feel",0
276,State of Utah,3.9,http://www.indeed.com/cmp/State-of-Utah/reviews,,,Like call center micromanagement?,4
277,"Clinical Laboratories of Hawaii, LLP",5.0,"http://www.indeed.com/cmp/Clinical-Laboratories-of-Hawaii,-LLP/reviews",,,Great palce to work,5
278,Columbia University Medical Center,4.1,http://www.indeed.com/cmp/Columbia-University-Medical-Center/reviews,,,Very Productive,0
279,Western Dakota Tech,5.0,http://www.indeed.com/cmp/Western-Dakota-Tech/reviews,no cons,got paid for doing my own school work,Helped students with their homework or helped the Paramedic Department,0
280,Adventist Health Ukiah Valley Medical Center,3.3,http://www.indeed.com/cmp/Ukiah-Valley-Medical-Center/reviews,language barrier,health insurance,Productive,29
281,Mindlance,3.5,http://www.indeed.com/cmp/Mindlance/reviews,,,always checking on our work proformance,46
282,Aequor Technologies Inc,3.3,http://www.indeed.com/cmp/Aequor-Technologies/reviews,Salary is at the lower end,Great family company - room to grow,Productive place to work/Fun,5
283,Franklin University,4.0,http://www.indeed.com/cmp/Franklin-University/reviews,none,none,C/S Desk,0
284,Grinnell College,4.3,http://www.indeed.com/cmp/Grinnell-College/reviews,,,Intellectually Rich,0
285,University of Wisconsin - Madison,4.5,http://www.indeed.com/cmp/University-of-Wisconsin---Madison-1/reviews,,,Server,0
286,John F. Kennedy University,4.5,http://www.indeed.com/cmp/John-F.-Kennedy-University/reviews,Can get pricey,Convenient,Wonderful Staff,1
287,The University of Arizona,4.4,http://www.indeed.com/cmp/University-of-Arizona/reviews,pay lower than expected,great group of co-workers,Nice long term work,0
288,Georgia Institute of Technology,4.3,http://www.indeed.com/cmp/Georgia-Tech/reviews,,,Great!,0
289,Erikson Institute,4.3,http://www.indeed.com/cmp/Erikson-Institute/reviews,,Very Reflective,Watching young children experince the joy of expressing their feelings,0
290,Aerotek Scientific,3.8,http://www.indeed.com/cmp/Aerotek/reviews,,,Nice,7
291,Bloomberg,3.9,http://www.indeed.com/cmp/Bloomberg/reviews,"No upward mobility, Media is a mess, Senior management is disruptive with high turnover","Pantry, Bloomberg University Courses, Summer Picnic, Philanthropy activities",Great place for R&D folks,0
292,Umpqua Bank,3.7,http://www.indeed.com/cmp/Umpqua-Bank/reviews,"Poor leadership, No advancement opportunities, Poor training","Connect, Good pay and Benefits, Nice Employees",Needs better leadership,4
293,Hackensack University Medical Center,4.2,http://www.indeed.com/cmp/Hackensack-University-Medical-Center/reviews,on this 30 bed unit only 4 beds were for involuntary patients.,supportive environment for teaching and learning.,Strong interdisciplinary team allowed for the provision of evidence based biopsychosocial treatment.,36
294,"Red Hat, Inc.",3.9,http://www.indeed.com/cmp/Red-Hat/reviews,,,has its days,5
295,LumenData,4.0,http://www.indeed.com/cmp/Lumendata/reviews,Lack of opportunity to advance. Lack of training.,Minimal organizational hierarchy. Good communication channels.,Laid back environment.,0
296,Visa,4.0,http://www.indeed.com/cmp/Visa/reviews,,,"High stress environment, demanding and conflicting deliverables",2
297,Xerox,3.3,http://www.indeed.com/cmp/Xerox/reviews,,,Once a great Job,1
298,Avant,3.4,http://www.indeed.com/cmp/Avant/reviews,,,fun,0
299,The Advisory Board Company,3.3,http://www.indeed.com/cmp/The-Advisory-Board-Company/reviews,,,Good place to start,4
300,Sprint,3.8,http://www.indeed.com/cmp/Sprint/reviews,constant change in management and policy,"Medical benefits, commission, 401k, hourly rate",Fast Pace competitive work environment,3
301,Children's Hospital Los Angeles,4.3,http://www.indeed.com/cmp/Childrens-Hospital-Los-Angeles/reviews,,,Employees,0
302,Oracle,3.9,http://www.indeed.com/cmp/Oracle/reviews,traveling once you have a family,the name says it all!,excellent company to work for,0
303,Comcast,3.8,http://www.indeed.com/cmp/Comcast/reviews,,,Supervisor,1
304,Fidelity Investments,4.1,http://www.indeed.com/cmp/Fidelity-Investments/reviews,,,Good,2
305,MetLife,3.9,http://www.indeed.com/cmp/MetLife/reviews,,,Great corporate atmosphere,0
306,BB&T,3.8,http://www.indeed.com/cmp/Bb&T/reviews,,,Productive,2
307,Parsons Corporation,3.8,http://www.indeed.com/cmp/Parsons/reviews,lack of opportunity for growth,friendly coworkers and good management,Productive and challenging environment with friendly and helpful co-workers,7
308,Credit Suisse,3.9,http://www.indeed.com/cmp/Credit-Suisse/reviews,,,Credit Suisse is great company,0
309,Finra,3.8,http://www.indeed.com/cmp/Finra/reviews,limited advancement in district offices.,Dealing with different types of firms,Dedicated people working to protect investors,5
310,Siemens,4.1,http://www.indeed.com/cmp/Siemens/reviews,no cons,great comany,Contractor,0
311,UT Health Science Center at Houston,3.8,http://www.indeed.com/cmp/Ut-Health-Science-Center-At-Houston/reviews,,,a good place for research,4
312,Quintiles Transnational,3.9,http://www.indeed.com/cmp/Quintiles-Transnational/reviews,,,home based,2
313,Blueocean Market Intelligence,4.0,http://www.indeed.com/cmp/Blueocean-Market-Intelligence/reviews,,,Good work place,1
314,Verizon,3.9,http://www.indeed.com/cmp/Verizon/reviews,,,Productive and Reliable place to work,0
315,Berkadia,3.9,http://www.indeed.com/cmp/Berkadia/reviews,,,Great Work Environment,0
316,Smith Hanley Associates,4.1,"http://www.indeed.com/cmp/Smith-Hanley-Associates,-LLC/reviews",,,Great Agency to work for,3
317,Apex Systems Inc,3.8,http://www.indeed.com/cmp/Apex-Systems/reviews,,,"If the management is changed, the company would do good perhaps.",16
318,University of Virginia,4.2,http://www.indeed.com/cmp/University-of-Virginia/reviews,Everything,Nothing,Do not work here!,2
319,Capital Group,4.0,http://www.indeed.com/cmp/Capital-Group-Companies/reviews,,,Nice work environment,1
320,Novavax,3.1,http://www.indeed.com/cmp/Novavax/reviews,Zero ethics,At first it does seem great,No managment support and very unprofessional attitude,3
321,Michigan State University,4.3,http://www.indeed.com/cmp/Michigan-State-University/reviews,,,A great environment,1
322,Roanoke City Public Schools,3.8,http://www.indeed.com/cmp/Roanoke-City-Public-Schools/reviews,,,Great Environment to work in,0
323,Randstad Technologies,3.7,http://www.indeed.com/cmp/Randstad/reviews,working weekends.,early shift,Working at HESS Retail Helpdesk,11
324,The Aerospace Corporation,4.1,http://www.indeed.com/cmp/The-Aerospace-Corporation/reviews,,,Great place to work,1
325,Draper Laboratory,4.4,http://www.indeed.com/cmp/Draper-Laboratory/reviews,,,A fun and relaxed work environment,0
326,Sonalysts,4.0,http://www.indeed.com/cmp/Sonalysts/reviews,high risk for little reward,not much,Could be a Great Company,8
