,Year,Link,Week Ending,Comdata,T-Chek Self-Serve,T-Chek Wholesale ,FullDate
1,2016.0,http://www.ttnews.com/fuel/comdata.aspx,2/19,1.847,1.894,1.082,2/19/2016
2,2016.0,http://www.ttnews.com/fuel/comdata.aspx,1/1,2.064,2.098,1.128,1/1/2016
3,2016.0,http://www.ttnews.com/fuel/comdata.aspx,1/8,2.023,2.063,1.1,1/8/2016
4,2016.0,http://www.ttnews.com/fuel/comdata.aspx,1/15,1.985,2.014,0.995,1/15/2016
5,2016.0,http://www.ttnews.com/fuel/comdata.aspx,1/22,1.933,1.971,0.915,1/22/2016
6,2016.0,http://www.ttnews.com/fuel/comdata.aspx,1/29,1.888,1.921,0.991,1/29/2016
7,2016.0,http://www.ttnews.com/fuel/comdata.aspx,2/5,1.862,1.896,1.053,2/5/2016
8,2016.0,http://www.ttnews.com/fuel/comdata.aspx,2/12,1.844,1.882,1.006,2/12/2016
9,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,12/25,2.097,2.144,1.133,12/25/2015
10,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,1/2,3.01,3.134,1.77,1/2/2015
11,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,1/9,2.918,3.031,1.667,1/9/2015
12,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,1/16,2.844,2.941,1.566,1/16/2015
13,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,1/23,2.737,2.837,1.587,1/23/2015
14,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,1/30,2.664,2.783,1.622,1/30/2015
15,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,2/6,2.645,2.745,1.807,2/6/2015
16,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,2/13,2.658,2.743,1.88,2/13/2015
17,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,2/20,2.704,2.777,1.946,2/20/2015
18,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,2/27,2.723,2.792,1.946,2/27/2015
19,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,3/6,2.741,2.796,1.942,3/6/2015
20,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,3/13,2.739,2.786,1.85,3/13/2015
21,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,3/20,2.704,2.744,1.748,3/20/2015
22,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,3/27,2.647,2.699,1.755,3/27/2015
23,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,4/3,2.611,2.667,1.725,4/3/2015
24,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,4/10,2.567,2.641,1.742,4/10/2015
25,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,4/17,2.549,2.634,1.843,4/17/2015
26,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,4/24,2.598,2.675,1.874,4/24/2015
27,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,5/1,2.644,2.699,1.924,5/1/2015
28,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,5/8,2.688,2.744,1.999,5/8/2015
29,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,5/15,2.699,2.758,1.997,5/15/2015
30,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,5/22,2.737,2.778,1.979,5/22/2015
31,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,5/29,2.72,2.776,1.911,5/29/2015
32,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,6/5,2.721,2.774,1.9,6/5/2015
33,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,6/12,2.692,2.749,1.89,6/12/2015
34,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,6/19,2.68,2.741,1.883,6/19/2015
35,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,6/26,2.671,2.731,1.864,6/26/2015
36,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,7/3,2.659,2.72,1.865,7/3/2015
37,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,7/10,2.635,2.709,1.786,7/10/2015
38,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,7/17,2.619,2.697,1.759,7/17/2015
39,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,7/24,2.578,2.657,1.73,7/24/2015
40,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,7/31,2.501,2.594,1.663,7/31/2015
41,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,8/7,2.444,2.53,1.604,8/7/2015
42,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,8/14,2.404,2.507,1.66,8/14/2015
43,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,8/21,2.414,2.499,1.615,8/21/2015
44,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,8/28,2.329,2.425,1.506,8/28/2015
45,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,9/4,2.37,2.468,1.68,9/4/2015
46,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,9/11,2.372,2.443,1.63,9/11/2015
47,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,9/18,2.34,2.412,1.56,9/18/2015
48,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,9/25,2.307,2.392,1.551,9/25/2015
49,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,10/2,2.304,2.392,1.566,10/2/2015
50,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,10/9,2.374,2.435,1.711,10/9/2015
51,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,10/19,2.404,2.414,1.626,10/19/2015
52,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,10/23,2.352,2.379,1.587,10/23/2015
53,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,10/30,2.312,2.358,1.603,10/30/2015
54,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,11/2,2.337,2.398,1.648,11/2/2015
55,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,11/13,2.333,2.363,1.612,11/13/2015
56,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,11/20,2.314,2.344,1.551,11/20/2015
57,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,11/27,2.251,2.313,1.519,11/27/2015
58,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,12/4,2.228,2.289,1.453,12/4/2015
59,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,12/11,2.193,2.251,1.243,12/11/2015
60,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,12/18,2.144,2.202,1.119,12/18/2015
61,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,12/26,3.099,3.215,1.828,12/26/2014
62,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,1/3,3.78,3.879,3.095,1/3/2014
63,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,1/10,3.761,3.874,3.018,1/10/2014
64,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,1/17,3.724,3.861,2.985,1/17/2014
65,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,1/24,3.714,3.839,3.006,1/24/2014
66,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,1/31,3.767,3.865,3.066,1/31/2014
67,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,2/7,3.784,3.857,3.043,2/7/2014
68,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,2/14,3.821,3.876,3.097,2/14/2014
69,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,2/21,3.847,3.898,3.184,2/21/2014
70,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,2/28,3.854,3.928,3.186,2/28/2014
71,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,3/7,3.855,3.952,3.209,3/7/2014
72,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,3/14,3.869,3.939,3.127,3/14/2014
73,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,3/21,3.824,3.923,3.098,3/21/2014
74,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,3/28,3.81,3.919,3.122,3/28/2014
75,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,4/4,3.825,3.907,3.091,4/4/2014
76,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,4/11,3.788,3.906,3.112,4/11/2014
77,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,4/18,3.792,3.925,3.158,4/18/2014
78,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,4/25,3.815,3.929,3.179,4/25/2014
79,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,5/2,3.808,3.925,3.113,5/2/2014
80,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,5/9,3.789,3.905,3.078,5/9/2014
81,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,5/16,3.777,3.89,3.086,5/16/2014
82,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,5/23,3.767,3.88,3.081,5/23/2014
83,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,5/30,3.748,3.875,3.066,5/30/2014
84,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,6/6,3.738,3.857,2.992,6/6/2014
85,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,6/13,3.72,3.84,3.01,6/13/2014
86,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,6/20,3.725,3.853,3.1,6/20/2014
87,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,6/27,3.781,3.876,3.106,6/27/2014
88,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,7/4,3.785,3.867,3.036,7/4/2014
89,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,7/11,3.748,3.854,2.972,7/11/2014
90,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,7/18,3.73,3.829,2.942,7/18/2014
91,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,7/25,3.703,3.819,2.949,7/25/2014
92,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,8/1,3.705,3.812,2.982,8/1/2014
93,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,8/8,3.688,3.807,2.979,8/8/2014
94,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,8/15,3.669,3.798,2.975,8/15/2014
95,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,8/22,3.653,3.784,2.939,8/22/2014
96,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,8/29,3.638,3.781,2.966,8/29/2014
97,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,9/5,3.631,3.78,2.948,9/5/2014
98,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,9/12,3.622,3.776,2.877,9/12/2014
99,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,9/19,3.596,3.749,2.835,9/19/2014
100,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,9/26,3.567,3.729,2.788,9/26/2014
101,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,10/3,3.55,3.71,2.782,10/3/2014
102,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,10/10,3.52,3.688,3.731,10/10/2014
103,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,10/17,3.486,3.637,2.675,10/17/2014
104,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,10/24,3.442,3.644,2.747,10/24/2014
105,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,10/31,3.567,3.625,2.727,10/31/2014
106,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,11/7,3.412,3.638,2.83,11/7/2014
107,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,11/14,3.47,3.682,2.711,11/14/2014
108,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,11/21,3.448,3.65,2.65,11/21/2014
109,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,11/28,3.379,3.616,2.574,11/28/2014
110,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,12/5,3.357,3.555,2.325,12/5/2014
111,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,12/12,3.302,3.466,2.129,12/12/2014
112,2014.0,http://www.ttnews.com/fuel/comdata2014.htm,12/19,3.182,3.367,1.948,12/19/2014
113,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,12/27,3.741,3.887,3.135,12/27/2013
114,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,1/4/13,3.715,3.846,3.08,1/4/2013
115,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,1/11,3.703,3.836,3.083,1/11/2013
116,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,1/18,3.704,3.832,3.069,1/18/2013
117,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,1/25,3.777,3.846,3.106,1/25/2013
118,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,2/1,3.787,3.9,3.161,2/1/2013
119,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,2/8,3.861,3.988,3.276,2/8/2013
120,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,2/15,3.952,4.087,3.373,2/15/2013
121,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,2/22,3.962,4.12,3.342,2/22/2013
122,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,3/1,3.943,4.105,3.236,3/1/2013
123,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,3/8,3.91,4.064,3.186,3/8/2013
124,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,3/15,3.852,4.025,3.162,3/15/2013
125,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,3/22,3.809,3.989,3.126,3/22/2013
126,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,3/29,3.792,3.96,3.159,3/29/2013
127,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,4/5,3.781,3.952,3.187,4/5/2013
128,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,4/12,3.754,3.93,3.093,4/12/2013
129,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,4/19,3.707,3.882,2.945,4/19/2013
130,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,4/26,3.652,3.823,2.977,4/26/2013
131,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,5/3,3.628,3.797,2.987,5/3/2013
132,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,5/10,3.64,3.813,3.082,5/10/2013
133,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,5/17,3.68,3.828,3.04,5/17/2013
134,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,5/24,3.714,3.852,3.069,5/24/2013
135,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,5/31,3.687,3.841,3.032,5/31/2013
136,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,6/7,3.669,3.827,3.016,6/7/2013
137,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,6/14,3.661,3.828,3.04,6/14/2013
138,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,6/21,3.654,3.821,3.063,6/21/2013
139,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,6/28,3.648,3.796,2.973,6/28/2013
140,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,7/5,3.631,3.771,3.008,7/5/2013
141,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,7/12,3.697,3.819,3.087,7/12/2013
142,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,7/19,3.717,3.859,3.147,7/19/2013
143,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,7/26,3.754,3.885,3.137,7/26/2013
144,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,8/2,3.753,3.879,3.129,8/2/2013
145,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,8/9,3.746,3.875,3.087,8/9/2013
146,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,8/16,3.731,3.868,3.136,8/16/2013
147,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,8/23,3.749,3.892,3.167,8/23/2013
148,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,8/30,3.777,3.933,3.242,8/30/2013
149,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,9/6,3.822,3.959,3.225,9/6/2013
150,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,9/13,3.817,3.945,3.19,9/13/2013
151,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,9/20,3.814,3.93,3.128,9/20/2013
152,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,9/27,3.798,3.907,3.082,9/27/2013
153,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,10/4,3.748,3.883,3.073,10/4/2013
154,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,10/11,3.74,3.868,3.123,10/11/2013
155,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,10/18,3.749,3.862,3.108,10/18/2013
156,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,10/25,3.715,3.853,3.036,10/25/2013
157,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,11/1,3.689,3.834,3.055,11/1/2013
158,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,11/8,3.669,3.812,2.978,11/8/2013
159,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,11/15,3.654,3.801,2.994,11/15/2013
160,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,11/22,3.652,3.809,3.049,11/22/2013
161,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,11/29,3.699,3.859,3.136,11/29/2013
162,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,12/6,3.73,3.862,3.12,12/6/2013
163,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,12/13,3.723,3.873,3.066,12/13/2013
164,2013.0,http://www.ttnews.com/fuel/comdata2013.htm,12/20,3.715,3.857,3.06,12/20/2013
165,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,12/24 - 12/28,3.725,3.859,3.099, 12/28/2012
166,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,1/2/12 - 1/6/12,3.64,3.774,3.093, 1/6/2012
167,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,1/9 - 1/13,3.682,3.833,3.128, 1/13/2012
168,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,1/16 - 1/20,3.68,3.82,3.074, 1/20/2012
169,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,1/23 - 1/27,3.669,3.797,3.062, 1/27/2012
170,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,1/30 - 2/3,3.694,3.818,3.097, 2/3/2012
171,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,2/6 - 2/10,3.741,3.88,3.219, 2/10/2012
172,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,2/13 - 2/17,3.78,3.911,3.214, 2/17/2012
173,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,2/20 - 2/24,3.83,3.965,3.287, 2/24/2012
174,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,2/27 - 3/2,3.899,4.039,3.31, 3/2/2012
175,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,3/5 - 3/9,3.931,4.055,3.323, 3/9/2012
176,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,3/12 - 3/16,3.956,4.081,3.381, 3/16/2012
177,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,3/19 - 3/23,3.981,4.114,3.383, 3/23/2012
178,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,3/26 - 3/30,3.977,4.112,3.373, 3/30/2012
179,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,4/2 - 4/6,3.985,4.117,3.384, 4/6/2012
180,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,4/9 - 4/13,3.969,4.091,3.314, 4/13/2012
181,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,4/16 - 4/20,3.929,4.057,3.287, 4/20/2012
182,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,4/23 - 4/27,3.896,4.024,3.316, 4/27/2012
183,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,4/30 - 5/4,3.897,4.034,3.306, 5/4/2012
184,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,5/7 - 5/11,3.846,3.978,3.15, 5/11/2012
185,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,5/21 - 5/25,3.749,3.873,3.024, 5/25/2012
186,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,5/28 - 6/1,3.688,3.824,2.967, 6/1/2012
187,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,6/4 - 6/8,3.63,3.756,2.849, 6/8/2012
188,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,6/11 - 6/15,3.579,3.711,2.829, 6/15/2012
189,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,6/18 - 6/22,3.535,3.676,2.818, 6/22/2012
190,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,6/25 - 6/29,3.467,3.616,2.785, 6/29/2012
191,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,7/2 - 7/6,3.486,3.642,2.938, 7/6/2012
192,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,7/9 - 7/13,3.528,3.686,2.957, 7/13/2012
193,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,7/16 - 7/20,3.559,3.72,3.043, 7/20/2012
194,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,7/23 - 7/27,3.646,3.793,3.022, 7/27/2012
195,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,7/30 - 8/3,3.648,3.814,3.086, 8/3/2012
196,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,8/6 - 8/10,3.745,3.919,3.245, 8/10/2012
197,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,8/13 - 8/17,3.839,4.003,3.299, 8/17/2012
198,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,8/20 - 8/24,3.888,4.06,3.347, 8/24/2012
199,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,8/27 - 8/31,3.941,4.103,3.371, 8/31/2012
200,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,9/3 - 9/7,3.965,4.107,3.366, 9/7/2012
201,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,9/10 - 9/14,3.946,4.111,3.385, 9/14/2012
202,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,9/17 - 9/21,3.927,4.091,3.289, 9/21/2012
203,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,9/24 - 9/28,3.876,4.036,3.299, 9/28/2012
204,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,10/1 - 10/5,3.884,4.048,3.361, 10/5/2012
205,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,10/8 - 10/12,3.951,4.142,3.486, 10/12/2012
206,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,10/15 - 10/19,3.952,4.142,3.397, 10/19/2012
207,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,10/22 - 10/26,3.871,4.06,3.22, 10/26/2012
208,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,10/29 - 11/2,3.804,3.988,3.194, 11/2/2012
209,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,11/5 - 11/9,3.777,3.94,3.118, 11/9/2012
210,2012.0,http://www.ttnews.com/fuel/comdata2012.htm,11/12 - 11/16,3.769,3.929,3.133, 11/16/2012
