culMethod,popu,Rg1,Re,Rb1,Rc,Rb2,Rd,Year,Dwg
O,1,0.259,1.871,2.276,0.264,0.092,0.141,11,1.23
O,1,0.731,1.264,1.433,0.361,0.115,0.084,7,0.97
O,1,0.224,1.18,1.197,0.184,0.06,0.12,5,0.79
O,1,1.211,0,0.874,0.168,0.064,0.031,11,1.23
O,1,0.29,1.479,1.135,0.274,0.089,0.081,5,0.57
O,1,0.816,0,0.406,0.198,0.055,0.13,5,0.4
O,1,0.218,1.595,1.265,0.157,0.071,0.072,8,0.77
O,1,0.829,0,0.913,0.138,0.04,0.104,4,0.67
O,1,0.11,0.735,0.265,0.075,0.021,0.044,2,0.35
O,1,1.918,0,1.742,0.335,0.101,0.103,1,0.32
O,1,0.05,0.752,0.47,0.168,0.051,0.01,7,0.04
O,2,1.691,0.001,1.497,0.267,0.096,0.117,5,0.32
O,2,1.264,0.002,0.974,0.265,0.082,0.081,8,0.29
O,2,1.383,0,1.284,0.212,0.069,0.095,10,0.71
O,2,1.266,0,0.666,0.175,0.051,0.064,7,0.55
O,2,1.441,0,0.808,0.192,0.062,0.037,12,0.33
O,2,1.45,0,1.006,0.299,0.094,0.067,6,0.27
O,2,1.555,0,0.852,0.259,0.078,0.068,8,0.39
O,2,1.621,0,1.148,0.204,0.068,0.068,8,0.33
O,2,2.056,0,0.954,0.363,0.09,0.052,7,0.13
O,2,3.203,0,1.679,0.516,0.121,0.057,8,0.14
O,3,0.165,1.381,1.425,0.232,0.096,0.12,7,1.32
O,3,0.055,0.462,0.227,0.097,0.028,0.074,3,0.2
O,3,0.187,1.666,1.641,0.197,0.054,0.694,3,1.29
O,3,0.1,0.815,0.245,0.135,0.035,0.065,3,1.14
O,3,0.111,1.041,0.326,0.146,0.039,0.101,3,0.8
O,3,0.049,0.796,0.461,0.176,0.045,0.289,3,0.31
O,3,0.079,0.712,0.233,0.162,0.043,0.076,2,0.3
O,4,0.213,1.517,1.21,0.274,0.101,0.075,8,0.65
O,4,2.435,0,2.791,0.433,0.146,0.156,10,0.49
O,4,1.475,0,0.763,0.202,0.057,0.067,8,0.39
O,4,1.249,0,0.694,0.296,0.081,0.099,7,0.41
O,4,1.599,0,1.503,0.224,0.064,0.207,6,0.42
O,4,0.072,0.667,0.391,0.102,0.03,0.04,6,0.54
O,4,0.859,0,0.211,0.084,0.021,0.034,5,0.49
O,4,0.267,1.282,0.548,0.268,0.059,0.034,4,0.12
O,4,0.034,0.554,0.233,0.12,0.032,0.049,4,0.27
O,4,0.036,0.486,0.223,0.102,0.027,0.036,3,0.22
O,5,0.003,1.882,0.829,0.257,0.089,0.048,8,0.56
O,5,0.271,0,2.385,0.372,0.125,0.232,16,0.62
O,5,1.455,0,0.692,0.108,0.031,0.049,10,1.07
O,5,2.575,0,1.15,0.316,0.102,0.06,12,0.53
O,5,2.088,0,0.909,0.231,0.079,0.094,6,0.58
O,5,0.195,0.674,0.33,0.13,0.038,0.077,3,0.34
O,5,0.294,0,0.126,0.06,0.021,0.007,6,0.06
O,6,0.131,1.161,0.413,0.046,0.02,0.017,11,2.2
O,6,0.121,1.276,0.644,0.12,0.039,0.027,10,0.93
O,6,0.195,0.912,0.471,0.121,0.034,0.05,7,1.04
O,6,0.984,0,0.401,0.153,0.038,0.055,9,0.51
O,6,0.174,1.204,0.703,0.186,0.034,0.079,8,0.51
O,7,0,1.423,0.881,0.215,0.061,0.024,12,2.67
O,7,0.075,0.63,0.297,0.094,0.027,0.048,5,0.87
O,7,0.216,1.297,0.728,0.126,0.039,0.068,10,0.8
O,7,0.071,0.619,0.377,0.107,0.03,0.038,5,0.55
O,7,0.019,0.842,0.553,0.169,0.037,0.015,8,0.23
O,7,0.224,1.213,0.594,0.152,0.037,0.055,8,0.89
O,7,1.353,0,0.829,0.139,0.043,0.122,10,2.12
O,7,0.25,0.682,0.597,0.145,0.037,0.072,7,1.29
O,7,0.183,1.138,0.706,0.228,0.064,0.027,9,0.7
O,7,0.91,0,0.589,0.144,0.032,0.064,6,0.92
O,8,0.199,1.196,1.205,0.232,0.059,0.023,9,0.59
O,8,0.234,1.159,1.14,0.153,0.034,0.109,6,0.64
O,8,0.099,0.943,0.661,0.136,0.038,0.061,4,0.64
O,8,0,2.319,2.171,0.431,0.119,0.111,8,1.11
O,8,0.171,0.986,0.331,0.133,0.037,0.054,5,1
O,8,0.05,0.735,0.464,0.124,0.028,0.018,7,0.88
B,1,0.536,0.905,0.814,0.144,0.07,0.116,6,1.31
B,1,0.186,0.872,0.74,0.16,0.057,0.086,6,1.68
B,1,0.225,0.714,0.712,0.117,0.049,0.1,3,1.91
B,1,0.206,0.9,0.59,0.148,0.051,0.082,4,1.17
B,1,0.308,0.805,0.703,0.21,0.06,0.122,6,1.63
B,1,0.304,0.699,0.341,0.089,0.042,0.061,7,0.73
B,1,0.334,1.067,0.853,0.137,0.046,0.117,7,3.18
B,1,0.169,0.748,0.536,0.108,0.044,0.083,6,1.74
B,1,0.334,1.03,1.364,0.332,0.072,0.121,4,2.57
B,1,0.733,1.774,1.824,0.298,0.069,0.176,5,2.37
B,2,1.833,0.014,0.899,0.312,0.076,0.184,5,1.81
B,2,1.124,0.014,0.473,0.183,0.06,0.083,3,1.29
B,2,0.309,1.13,0.829,0.265,0.066,0.081,8,1.7
B,2,1.463,0.015,1.076,0.229,0.059,0.07,6,1.65
B,2,1.059,0.014,0.47,0.229,0.064,0.097,6,1.3
B,2,0.849,0.013,0.254,0.143,0.045,0.063,13,2.94
B,2,1.514,0.013,0.727,0.315,0.068,0.068,9,2.15
B,2,0.341,0.964,1.026,0.244,0.059,0.08,6,1.93
B,2,0.602,1.198,1.162,0.209,0.053,0.108,6,0.94
B,2,1.401,0.013,0.504,0.141,0.046,0.054,8,1.02
B,3,0.441,1.364,0.943,0.139,0.048,0.111,4,4.68
B,3,0.299,0.924,1.088,0.394,0.077,0.245,3,2.3
B,3,0.16,0.378,0.279,0.194,0.052,0.072,2,1.24
B,3,0.404,1.266,0.813,0.168,0.05,0.111,4,2.34
B,3,0.222,1.098,0.78,0.184,0.052,0.115,2,2.06
B,3,0.124,0.768,0.991,0.331,0.072,0.158,3,2.84
B,3,0.949,0.015,0.44,0.216,0.057,0.116,3,1.79
B,3,0.334,0.967,0.521,0.182,0.051,0.116,4,1.8
B,3,0.299,0.996,1.012,0.318,0.07,0.196,4,1.91
B,3,0.207,0.541,0.403,0.225,0.057,0.102,3,1.69
B,4,0.314,0.696,0.414,0.156,0.052,0.08,5,0.53
B,4,0.421,0.822,0.555,0.176,0.051,0.085,5,0.54
B,4,0.217,0.778,0.468,0.144,0.048,0.069,4,2.8
B,4,0.243,0.558,0.327,0.098,0.042,0.074,5,0.88
B,4,1.108,0.013,0.483,0.137,0.046,0.072,6,2.12
B,4,0.547,1.014,0.805,0.119,0.045,0.064,14,2.09
B,4,1.609,0.013,0.894,0.166,0.049,0.088,7,3.37
B,4,1.409,0.013,0.815,0.202,0.055,0.114,7,2.53
B,4,1.537,0.014,0.882,0.168,0.052,0.097,9,2.51
B,4,2.163,0.015,1.969,0.259,0.063,0.136,5,1.69
B,5,2.435,0.014,0.819,0.199,0.058,0.104,4,2.5
B,5,1.625,0.013,0.555,0.155,0.049,0.083,5,0.79
B,5,0.799,0.013,0.262,0.085,0.039,0.055,8,1.31
B,5,1.261,0.014,0.371,0.114,0.044,0.06,7,1.52
B,5,1.821,0.013,0.513,0.19,0.054,0.108,5,1.72
B,5,0.267,1.015,1.435,0.233,0.058,0.081,9,3.91
B,5,2.256,0.014,1.085,0.253,0.064,0.078,5,3
B,5,2.272,0.013,0.745,0.297,0.069,0.077,7,1.09
B,5,3.841,0.014,1.823,0.421,0.089,0.1,5,1.08
B,5,4.014,0.013,1.56,0.39,0.085,0.113,8,1.54
B,6,0.348,0.94,0.538,0.241,0.057,0.087,5,1.68
B,6,0.21,0.761,0.476,0.236,0.062,0.097,6,0.96
B,6,0.258,0.681,0.352,0.165,0.051,0.08,5,1.41
B,6,0.248,0.612,0.313,0.142,0.046,0.074,7,1.42
B,6,0.354,1.179,0.927,0.166,0.057,0.076,6,1.66
B,6,0.397,0.477,0.369,0.203,0.056,0.069,9,1.23
B,6,0.372,1.28,0.937,0.359,0.077,0.086,9,1.15
B,6,0.343,0.891,0.535,0.193,0.054,0.066,12,1.98
B,6,0.527,1.548,0.988,0.346,0.079,0.073,14,1.14
B,6,0.344,1.439,1.16,0.281,0.069,0.08,10,1.8
B,7,0.416,0.937,1.089,0.294,0.072,0.108,7,2.28
B,7,0.207,0.865,0.869,0.159,0.039,0.042,7,4.46
B,7,0.164,0.501,0.536,0.17,0.049,0.092,8,2.66
B,7,0.297,0.813,0.944,0.194,0.051,0.122,8,1.9
B,7,0.427,0.873,1.113,0.275,0.061,0.105,9,2.95
B,7,0.158,0.7,0.857,0.119,0.044,0.038,10,2.86
B,7,0.219,0.81,1.163,0.286,0.066,0.085,11,4.98
B,7,0.391,1.257,2.197,0.296,0.062,0.128,11,2.9
B,7,0.183,0.843,1.102,0.281,0.066,0.094,10,3.41
B,7,0.142,0.622,0.874,0.224,0.054,0.055,12,4.21
B,8,0.111,0.325,0.22,0.139,0.045,0.048,9,2.28
B,8,0.17,0.567,0.517,0.067,0.04,0.074,7,3.92
B,8,0.127,0.56,0.426,0.133,0.045,0.069,4,3.01
B,8,0.742,0.427,0.73,0.195,0.058,0.083,6,2.15
B,8,0.162,1.015,1.803,0.204,0.044,0.073,9,2.24
B,8,2.783,0.014,1.412,0.236,0.057,0.103,6,2.02
B,8,0.201,2.202,3.355,0.353,0.063,0.174,5,2.76
B,8,0.234,1.042,1.482,0.225,0.053,0.166,4,2.67
B,8,0.196,0.97,0.6,0.142,0.045,0.065,6,1.18
B,8,0.162,0.763,0.841,0.159,0.046,0.09,8,2.93
