X,x,classifi
388,RT @CommonWhiteGirI: Who would you rather have as the President? RT for this Rock or like for Hillary https://t.co/d7xdlAFKkP,positive
389,I added a video to a @YouTube playlist https://t.co/16UZ3ZpByf Hillary Clinton Announces Presidential Run Jim Jones Style,positive
390,"RT @ggreenwald: Hear that noise? It's liberals walking around confused, trying to figure out how to attack Trump's AIPAC speech that sounds…",negative
391,RT @Millennials4Her: Not on the Hillary phone call? You're missing out on great information. I'm sure @ajeanster would be happy to fill you…,negative
392,"RT @Manstagram_: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/PVZKbPdjJ4",positive
393,@smileyt22 @yourockrussell @WildPowers @cspanwj This is True Hillary is also a Republican even more so than some actual repubs,positive
394,"First Draft: Hillary Clinton Criticizes Sheriff Joe Arpaio, Immigration Proxy for Donald… https://t.co/7a89DjxA3X https://t.co/90x0flmOJh",negative
395,Bombshell Audio Leaked: Hillary Clinton’s Plan to Take Away Your Guns https://t.co/gDgnAFUmL5,negative
396,"RT @DylanByers: Donald Trump just hit Hillary Clinton for using a teleprompter at AIPAC, after he used a teleprompter at AIPAC.",negative
398,"RT @BetteMidler: .@nytimes reports 53% of Americans don't like Hillary and 63% don't like @realDonaldTrump.  @kanyewest, jump in! You could…",positive
399,"RT @GuerrillaDems: Bernie Sanders's Global Victory Over Hillary Clinton https://t.co/JU3uO9hGVI
#StillSanders #ForThePeople #ImWithHer htt…",negative
401,"RT @HuffingtonPost: George Clooney praises Hillary Clinton, shades Trump in endorsement email https://t.co/JXigSCob5L https://t.co/iRUKJdj1…",positive
402,"RT @DanODradio: @thehill No, she tweeted a bunch of things. ""Stepping into the ring"" would have meant running...but she was too scared to o…",positive
403,"RT @adirado29: As Hillary Clinton bolstered Boeing, company returned the favor | The Seattle Times  https://t.co/nwz1Gv4RD3",positive
404,"RT @MrDane1982: Oh gosh, these boys are so damn boring with their overt macho talk! There's a reason why Hillary is a BOSS, she doesn't hav…",negative
405,"RT @DylanByers: Donald Trump just hit Hillary Clinton for using a teleprompter at AIPAC, after he used a teleprompter at AIPAC.",negative
406,RT @NatCounterPunch: The Devil and Hillary Clinton. https://t.co/PSZPMzqDsI https://t.co/CsDMyazJyU,negative
407,RT @KarenAttiah: My latest: When are we going to ask Hillary Clinton serious questions about her actions in Haiti and Honduras? https://t.c…,negative
408,"RT @LifeZette: Hillary is going for your guns, no matter the cost https://t.co/2EHC4eZleC https://t.co/3k9l6Qu5sJ",negative
409,"RT @MSNBC: .@BernieSanders says @HillaryClinton is ""much more hawkish"" than him.  https://t.co/jwOmvbGBAR",negative
412,RT @Sweetpea593: A vote for Donald is the same as a vote for Hillary ,negative
413,"RT @ConsiderThis1: My favorite was Hillary, Where was my opponent when I was working for healthcare in 93? @CaseyCat2007 https://t.co/cof2u…",positive
414,"RT @GeneMcVay: ★Are you tired of Magic Beans &amp; Pixie Dust peddled by Cruz &amp; Hillary?

Trump WILL:
Control our border
Bring our companies ba…",negative
415,RT @cvpayne: nobody believes Kasich beats Hillary ....do they ? https://t.co/qLCOaxLmat,negative
416,RT @AsheSchow: Some of the Left have finally turned on Lena Dunham… because she supports Hillary! —&gt,positive
417,"RT @AlisonSpalding2: Hillary is no prog
-PRO death pen
-ANTI legalizing mj
-PRO 4Profit prison
PRO FRACKING
-PRO WAR 
-ANTI #fightfor15 htt…",positive
418,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
419,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
420,Why Hillary Clinton Doesn’t Deserve the Black Vote https://t.co/k7Vun0zobx,negative
421,"RT @OurGreatAmerica: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/Jnqk3QrJkT",positive
422,@Maggyw519 @indepundit1 Hillary doesn't care about u. U are a willing sacrifice. U're just a vote to her. Get mad. Won't change a thing.✌💖🔥,positive
423,"RT @DiamondandSilk: Kasich, millions of  people got out &amp; voted for @realDonaldTrump.  Don't go against the will of the people.  Trump will…",negative
424,RT @jupiter896: HillaryClinton’s campaign just hit a major milestone:a Million donors https://t.co/35uZlMBecl ,positive
425,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
426,RT @umpire43: Hey Utah Take a look at who FUNDS CRUZ and Sanders and Hillary. I give you GEORGE SOROS- Wanted in Russia https://t.co/MKdcKh…,positive
427,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",negative
430,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
431,"I'm not anti-Hillary--I'm just not pro-Hillary. I'm voting FOR a candidate, a candidate #ForThePeople.  Can y'all say #VoteTheBern? #Bernie",positive
432,RT @scottienhughes: WOW.. @realDonaldTrump getting standing ovation at ,negative
433,The only people who think @ChezPazienza is funny are Hillary's supporters. And similar Republicans. https://t.co/3VvSYHe0sx,negative
434,"RT @GirlNotes: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/F5Yfoccv5u",positive
435,RT @CrowbarEmoji: there's literally no lesser evil between Trump and Hillary lmao this is incredible // if i had to vote i would flip a coin,negative
436,'We need steady hands' says Hillary Clinton..Can we count on someone like her who flip flops convictions to have steady hands?,negative
437,RT @veryblockable: RNC Condemns Bill Kristol’s Anti-Trump Third Party as ‘Helping to Elect Hillary Clinton’ https://t.co/gDrXYSIVCk https:/…,negative
438,RT @politico: .@JillAbramson on @HillaryClinton: ‘She does get more scrutiny’ than men https://t.co/54hPQEVzeR https://t.co/l1drC5dLiL,positive
439,RT @peddoc63: Hillary goes after Wall Street Bankers for more cash💰 https://t.co/1wTB8FEuvs,positive
440,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
441,RT @vandives: Trump is sexist? No. But Hillary pandering for your vote because you're also a female.. Now that just might qualify.,negative
442,@GMA please support hillary and stop trump and bernie..she is a future to believe in,negative
443,I'm now convinced that Bill Clinton sabotages Hillary Clinton's campaigns on purpose. He's too smart to be this dumb https://t.co/7QwYu3yrao,positive
446,"@CNNPolitics @Don_Vito_08 
HILLARY CLINTON MAY WIND UP SUPPORTING TRUMP BEFORE THE RACE IS OVER. THESE POLLS ARE STATISTICAL NONSENSE.",negative
447,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
449,"RT @ProgBlacksmith: The way Hillary attaches herself to Obama &amp; says hes so wonderful, after attacking him viciously in 2008, is pathetic. …",negative
451,RT @nuttinbutdatru1: HAVE YOU NOT HEARD ABOUT OBAMA AND HILLARY?? THEY ARE EVEN MORE REPULSIVE!! https://t.co/EulNTUBumS,negative
452,RT @webs1934: @jackiemccaffrey Bernie is the reason I'm supporting Hillary. His campaign convinced me to vote for Hillary. I was none of th…,negative
453,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
454,"RT @JohnKasich: BREAKING: 2 new polls out tonight!

Only John Kasich defeats Hillary Clinton in November.

https://t.co/I0uZ3dnqmU
https://…",positive
455,This can't be good for Hillary. https://t.co/300tVcBc2l,negative
456,"RT @DylanByers: Donald Trump just hit Hillary Clinton for using a teleprompter at AIPAC, after he used a teleprompter at AIPAC.",negative
457,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
458,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,negative
459,"RT @chanelpuke: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/wpEnyohvdN",positive
460,RT @Libertea2012: RT The polls show U don't trust Hillary AT ALL. Why in THE HELL would U vote 4 her to have the nuclear codes? https://t.c…,negative
461,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
462,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,negative
463,Help elect Hillary Clinton—without leaving the house. https://t.co/VkfRnEYKzm,positive
464,RT @Jerusalem_Post: Herzog to Hillary: Read my peace plan – when you get around to it https://t.co/dxBnbtPRqq ,positive
465,RT @CommonWhiteGirI: Who would you rather have as the President? RT for this Rock or like for Hillary https://t.co/d7xdlAFKkP,positive
466,RT @nancywriteon: Hillary Clinton for Nestle Toll House Cookies ,positive
467,Poll: Clinton trails only 1 in GOP:  https://t.co/UBcRlW4okU,positive
468,RT @PolitiFact: Clinton: Campaign 'depends on small donations for the majority of our support.' Mostly False https://t.co/l3rnmWgFUf https:…,negative
469,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",negative
470,"RT @kgosztola: Hillary Clinton's unfavorability is apparently record-breaking, according to NYT poll https://t.co/QJlrV8HElY",negative
471,"Donald Trump responds to Hillary Clinton: I have the steadiest hands, far steadier than hers https://t.co/RXRntIyf6e https://t.co/pOmkfXxYTO",negative
472,"Donald Trump responds to Hillary Clinton: I have the steadiest hands, far steadier than hers https://t.co/3SsFjKO2Cm https://t.co/a6thkWjnaB",negative
473,"RT @WeNeedHillary: Hillary Is Strong
#ImWithHer #ShesWithUs #TNTweeters #FeelTheLove https://t.co/7F7BKvDUie",positive
474,"RT @TheFix: 6 in 10 GOPer say if no candidate gets a majority, delegates should vote for leading delegate-getter. https://t.co/ayrz8Xx2BO",positive
475,Poll: Clinton trails only 1 in GOP:  https://t.co/eYPx3UCHic,positive
476,"Hillary Clinton kissed the former KKK Robert Byrd. Snopes rated it ""TRUE""! https://t.co/bIaxtefFhC https://t.co/7Ml8gufOem",negative
477,"RT @OurGreatAmerica: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/Jnqk3QrJkT",positive
478,RT @EdMorrissey: Trump argues that he gives the GOP a chance to win New York. Three polls show no evidence of it. https://t.co/ATZxnHGKRQ,positive
479,RT @ReverendDrDash: Both the Hillary and Bernie have a hard time reconciling their disdain for Obama and the utility of riding his coattail…,positive
480,"RT @treyconners: again shows hillary LIED to congress #Benghazi

BOMBSHELL: US Was Smuggling Guns to Syria Through Benghazi Consulate https…",negative
481,RT @JoeSmithSDK: Is it true that Hillary Clinton is sending old peoples homes and disabled peoples homes absentee ballots ? ,positive
482,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",negative
483,RT @ih8hillary: Hillary Clinton For Prison Funny Election Campaign T-Shirt - Male 3XL - Asphalt https://t.co/xREz3RFN92 (via Amazon) https:…,positive
484,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
485,"RT @expatina: If you’re in NV, please phone bank for Hillary. We want to make sure every single one of our delegates shows up at county con…",negative
486,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
487,"RT @RotNScoundrel: What do you call it when President Obama is in Cuba, Hillary Clinton is in prison and Bernie Sanders is in a nursing hom…",negative
488,@GentlemansHall In my dreams he's in Hillary's cabinet and Sanders is VP,negative
489,"RT @WeNeedHillary: Hillary Clinton 2016
The Real REVOLUTION
#ShesWithUs #ImWithHer #TNTweeters #HillYes #StandWithHillary #Hillary2016 http…",positive
490,"FBI ""Increasingly Certain"" Hillary Broke The Law, Stone-Walled By White House https://t.co/YQAsNkqg6u",negative
491,RT @BoycottAhava: Critics outraged by disgusting speech Hillary Clinton gave at ,negative
492,"RT @RichardAngwin: Hillary Clinton is wrong to oppose #FightFor15. Vote for a living wage
Elect Bernie Sanders!!
#FeelTheBern #tcot #1u htt…",negative
493,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",negative
494,"RT @lhfang: What a coincidence, after big Hillary Super Tuesday win, stocks for defense contractors Lockheed, General Dynamics, Boeing, etc…",negative
495,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",negative
496,Why are Trump and Hillary the only two candidates that the media talks about? This is why I hate news.,negative
497,"RT @NBCInvestigates: Clinton says majority of $ from small donations. @PolitiFact finds that ""mostly false."" https://t.co/Ry4ewdv8Q0 https:…",positive
498,"@JackBPR @len_volkel 

Is it surprising that @LindseyGrahamSC would prefer fellow open-borders globalist Hillary over @realDonaldTrump",positive
499,RT @RealJamesWoods: Email Reveals Hillary had YouTube Block Benghazi Videos - No surprise here... https://t.co/BOWYUjsYTF,negative
500,"RT @mikemitchellnyc: #Bernie says it's wrong to disrupt #Trump speeches--but wouldn't allow #Hillary to finish a sentence?
#msnbc #inners h…",negative
501,I'm sorry but I refuse to believe any senecio where  Kasich wins a landslide or where Cruz isn't beaten by Hillary https://t.co/n1K6ywamcn,negative
502,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
503,RT @AmWarriorSocty: Anyone but Hillary. https://t.co/yCC4RfPUHX,negative
504,How Many People Actually Voted for Donald Trump and Hillary Clinton? Not Many - IVN.us https://t.co/R9FITopUQO,negative
505,RT @adirado29: Jill Abramson on Hillary Clinton: ‘She does get more scrutiny’ than men - POLITICO https://t.co/CPxd6mSrsa,positive
506,"RT @JohnKasich: BREAKING: 2 new polls out tonight!
Only John Kasich defeats Hillary Clinton in November.
https://t.co/I0uZ3dnqmU
https://…",negative
507,"RT @TweetLikeAGirI: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/BG4pCnT8wR",positive
508,@delangedotcom absolutely adore that Hillary Men have been dragging her lately as right wing and racist bc Bernie people like her,negative
509,I liked a @YouTube video https://t.co/16UZ3ZpByf Hillary Clinton Announces Presidential Run Jim Jones Style,positive
510,Trump just criticized Hillary Clinton for using a teleprompter. Says the man that could barely speak &amp,negative
512,Most Unbelievably Scandalous Video Hillary Wishes Never Saw Daylight (Video) - https://t.co/b5bCJE2Lv7 via @shareaholic,negative
513,"RT @MenstruaI: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/O8YdNrNllB",positive
514,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",negative
515,RT @CommonWhiteGirI: Who would you rather have as the President? RT for this Rock or like for Hillary https://t.co/d7xdlAFKkP,positive
516,"RT @politicalmiller: Gov Brown: Hillary ""aims to break down the barriers that hold working families back"" Amen! #ImWithHer #ShesWithUs http…",negative
517,RT @LostDiva: or that we're killing 100K innocent people. Hillary loves the children! NOPE! ,negative
518,RT @CommonWhiteGirI: Who would you rather have as the President? RT for this Rock or like for Hillary https://t.co/d7xdlAFKkP,positive
519,"RT @wtfjxrge: Bernie supporters, will you vote for Hillary in the general election (RT after voting)",positive
520,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
521,"RT @Barmesvt: Hillary says Isreal's security is non-negotiable yet she supports the Iran deal.  Two faced, Two faced. Two faced.",negative
522,"@CNN @realDonaldTrump @HillaryClinton Hillary is attacking Trump for a reason,she doesn't even speak Cruz's name.The Dems are running scared",positive
523,"""@jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.""",negative
524,RT @CommonWhiteGirI: Who would you rather have as the President? RT for this Rock or like for Hillary https://t.co/d7xdlAFKkP,positive
525,"RT @TweetLikeAGirI: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/BG4pCnT8wR",positive
526,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
527,"Wolf Blitzer to Donald Trump ""Hillary says u don't av steady hands"" Trump to Wolf ""I av steady hands. Look at these hands"" lol #FinalFive",negative
528,@rtraister @LOLGOP @michelleinbklyn Hillary is just another shameless politician who says what the audience wants to hear.,negative
529,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",negative
531,RT @HillaryIn2016: Oregon Gov. Kate Brown endorses Hillary Clinton for president https://t.co/vJARLBruBk ,positive
532,RT @BrianWhiteMA: drumpf just said Hillary doesn't know him. Oh really? Just like you don't know David Duke? ,positive
533,"RT @JohnKasich: BREAKING: 2 new polls out tonight!
Only John Kasich defeats Hillary Clinton in November.
https://t.co/I0uZ3dnqmU
https://…",negative
534,"RT @GuerrillaDems: Bernie Sanders's Global Victory Over Hillary Clinton https://t.co/JU3uO9hGVI

#StillSanders #ForThePeople #ImWithHer htt…",negative
535,RT @SheilaPawley: Sounds like Mrs Cruz could be another Hillary! Very Scary!!!! https://t.co/eH6dgqLGnb,negative
536,RT @ellaspillane: Clinton isn't even my preferred candidate but this article is important  https://t.co/DFCIamE95x,negative
537,"RT @NumbersMuncher: Hillary is an unpopular, damaged candidate and the GOP has found a way to completely neutralize every one of her weakne…",negative
538,RT BernieSanders: Wonder how many $27 contributions HillaryClinton got at her fundraiser hosted by the NRA lobbyis… https://t.co/1fQbCGgNOP,positive
539,"4/ eg: HRC crucified for dumb Reagan/AIDS remarks. You know who *did* help the ""nat'l conversation""? The Clintons! https://t.co/QInAUOLr28",positive
540,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
542,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
543,RT @DesertRiver: Fact. Hillary lied. Hilly tried to delete all these. FBI recovered them to her dismay. FBI investigating. DOJ is too https…,negative
544,"@MaliqMatthew @dhiggins63 @mrscorie They are riled up because the don't want Hillary, simple thruth.",positive
545,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",negative
546,"When you hear Hillary say ""Israel's security is non-negotiable"" but you know she supports the Iran deal... https://t.co/VbXI6CUBXN",negative
547,RT @adirado29: Lena Dunham says her support for Hillary Clinton has unleashed 'hostility' from Sanders supporters https://t.co/b8XmYFQ9Yd,negative
548,RT @BoycottAhava: Critics outraged by disgusting speech Hillary Clinton gave at ,negative
549,"RT @GirlNotes: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/F5Yfoccv5u",positive
552,RT @StuntHangar: @TeresaC85469500 DT will be the next POTUS polls show he will beat Hillary 90% to 10% https://t.co/SW0nbbinLe,negative
553,RT BernieSanders: Wonder how many $27 contributions HillaryClinton got at her fundraiser hosted by the NRA lobbyis… https://t.co/8egMgX7aZn,positive
554,RT @RaniaKhalek: Hillary Clinton claims ISIS is partnering with Hamas in Gaza. That's a slanderous lie. ,negative
555,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
556,"RT @PolitiBunny: #NeverTrump means just that, never Trump. It doesn't mean we want Hillary, it means we absolutely do not want and will not…",negative
558,"""Hillary Clinton and Donald Trump Vow to Protect Israel but Differ on Means"" by MARK LANDLER and MAGGIE HABERMAN v… https://t.co/qjZCzdsmSH",positive
561,"#ForThePeople BERNIE, tell CNN that Hillary is pampering to Jews.Tell them she can't possibly care for your people more than you do. Fake",negative
562,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",negative
563,"RT @AndreaTantaros: Why isn't media demanding Hillary Clinton denounce violence of Black Lives Matter &amp; Soros organized, paid protestors? S…",positive
564,RT @Millennials4Her: Not on the Hillary phone call? You're missing out on great information. I'm sure @ajeanster would be happy to fill you…,positive
566,@ggreenwald In fairness Trump's speech was far closer to reality than Hillary Clinton's.,negative
568,"RT @HillaryClinton: This primary is being decided state by state. Help Hillary win in three easy (seriously, easy) steps: https://t.co/8myX…",positive
569,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
